Frame Index,Mean Arrow Length,Max Arrow Length,Mean Angle (°),Angle Std Dev (°),Dominant Angle Range
168,0.048497494,1.0236865,-113.91926,24.180607,-150° to -120°
169,0.05137019,0.8952829,-122.334625,31.181696,-120° to -90°
170,0.02301667,0.56961524,8.545477,156.57204,150° to 180°
171,0.062523596,0.55618453,-84.33148,19.198812,-120° to -90°
172,0.024098702,0.5659467,-29.636402,21.660223,-60° to -30°
173,0.20645161,0.8318576,21.518429,2.492556,0° to 30°
174,0.08950466,0.9039883,-97.183685,6.935179,-120° to -90°
175,0.16111597,0.8449397,-97.15089,8.735485,-120° to -90°
176,0.05703024,0.9964222,83.63006,8.55393,60° to 90°
177,0.05030263,0.88281417,1.8001051,145.86246,-180° to -150°
178,0.06683102,1.0157804,118.024414,14.230833,90° to 120°
179,0.46196014,5.483255,66.085,22.001583,60° to 90°
180,0.040002845,0.45113477,-123.235466,3.935824,-150° to -120°
181,0.24124725,0.8996493,-54.182976,3.9450715,-60° to -30°
182,0.005534777,0.49724853,-8.731266,139.46872,-150° to -120°
183,0.28201038,1.0140555,151.09152,4.8222017,150° to 180°
184,0.009257023,0.80614024,91.64034,34.09278,90° to 120°
185,0.011314481,0.55221033,35.897346,151.0055,120° to 150°
186,0.055507153,0.91513467,-97.141884,17.085947,-120° to -90°
187,0.023669703,0.8613493,-89.649124,20.838259,-120° to -90°
188,0.09976917,0.97169656,159.39407,9.464674,150° to 180°
189,0.05982571,0.7704541,101.90474,9.256935,90° to 120°
190,0.06474269,0.594249,28.610687,11.176198,0° to 30°
191,0.13059354,0.8325846,-77.459625,12.652178,-90° to -60°
192,0.0065196645,0.40159723,-16.797998,54.692886,-60° to -30°
193,0.021246063,1.017039,-6.46807,8.530633,-30° to 0°
194,0.028587963,0.88983697,-92.76826,34.941994,-150° to -120°
195,0.02655828,0.9426792,108.86448,12.211531,90° to 120°
196,0.012044818,0.35693,3.6430216,13.874466,0° to 30°
197,0.10467197,0.9629664,-41.08216,20.752329,-60° to -30°
198,0.21936269,0.8875538,70.61731,1.9787502,60° to 90°
199,0.0,0.0,0.0,0.0,0° to 30°
200,0.0,0.0,0.0,0.0,0° to 30°
201,0.0,0.0,0.0,0.0,0° to 30°
202,0.0,0.0,0.0,0.0,0° to 30°
203,0.0,0.0,0.0,0.0,0° to 30°
204,0.0,0.0,0.0,0.0,0° to 30°
205,0.0,0.0,0.0,0.0,0° to 30°
206,0.0,0.0,0.0,0.0,0° to 30°
207,0.0,0.0,0.0,0.0,0° to 30°
208,0.0,0.0,0.0,0.0,0° to 30°
209,0.0,0.0,0.0,0.0,0° to 30°
210,0.0,0.0,0.0,0.0,0° to 30°
211,0.0,0.0,0.0,0.0,0° to 30°
212,0.0,0.0,0.0,0.0,0° to 30°
213,0.0,0.0,0.0,0.0,0° to 30°
214,0.0,0.0,0.0,0.0,0° to 30°
215,0.0,0.0,0.0,0.0,0° to 30°
216,0.0,0.0,0.0,0.0,0° to 30°
217,0.0,0.0,0.0,0.0,0° to 30°
218,0.0,0.0,0.0,0.0,0° to 30°
219,0.0,0.0,0.0,0.0,0° to 30°
220,0.0,0.0,0.0,0.0,0° to 30°
221,0.0,0.0,0.0,0.0,0° to 30°
222,0.0,0.0,0.0,0.0,0° to 30°
223,0.0,0.0,0.0,0.0,0° to 30°
224,0.0,0.0,0.0,0.0,0° to 30°
225,0.0,0.0,0.0,0.0,0° to 30°
226,0.0,0.0,0.0,0.0,0° to 30°
227,0.0,0.0,0.0,0.0,0° to 30°
228,0.0,0.0,0.0,0.0,0° to 30°
229,0.0,0.0,0.0,0.0,0° to 30°
230,0.0,0.0,0.0,0.0,0° to 30°
231,0.0,0.0,0.0,0.0,0° to 30°
232,0.0,0.0,0.0,0.0,0° to 30°
233,0.0,0.0,0.0,0.0,0° to 30°
234,0.0,0.0,0.0,0.0,0° to 30°
235,0.0,0.0,0.0,0.0,0° to 30°
236,0.0,0.0,0.0,0.0,0° to 30°
237,0.0,0.0,0.0,0.0,0° to 30°
238,0.0,0.0,0.0,0.0,0° to 30°
